A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
14.063227,13.705416,0,0,0,0
0,14.539946,14.465056,0,0,0
15.425839,15.371062,15.33999,14.869401,14.858563,14.7937565
15.094284,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.339433,0,0,0,0
12.636851,13.109178,0,0,0,0
13.879008,0,0,0,0,0
-9.055109,-9.055109,-9.055109,-9.055109,-9.055109,-9.055109
0,0,0,0,0,0
0,13.573528,11.269711,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,15.108035,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.17313,12.686938,13.347622,0,0,0
16.705173,16.666058,16.747013,0,13.109504,13.007378
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,14.976608,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.61586,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,13.205336,13.244512,0,0,0
0,0,0,0,0,13.324462
0,0,0,0,0,0
9.699001,9.537025,9.628687,9.149736,9.008484,8.927845
0,0,0,0,0,0
15.256577,15.156754,15.245219,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-14.380752,-14.380752,-14.380752,-14.380752,-14.380752,-14.380752
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.207014,14.911158,15.121574,0,0,0
15.767771,0,15.669329,0,0,0
13.711883,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,15.087628,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,15.231971,15.18057,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12.427312,12.550507,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,14.198061,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,14.115531,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.408065,13.197678,13.267078,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
16.69679,16.765247,16.745792,15.572493,15.5557575,15.616203
0,0,0,0,0,0
16.355247,16.374784,16.317112,13.899262,13.270587,13.726006
0,0,0,0,0,0
0,12.755513,12.674413,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.858126,0,0,0,0,0
0,0,0,0,0,0
